339-001,세종,,가람동,,19217
339-002,세종,,고운동,,19218
339-003,세종,,나성동,,19219
339-004,세종,,다정동,,19220
339-703,세종,,대평동 행정중심복합도시건설청,,19221
339-005,세종,,대평동,,19222
339-006,세종,,도담동,,19223
339-007,세종,,반곡동,,19224
339-008,세종,,보람동,,19225
339-009,세종,,새롬동,,19226
339-010,세종,,소담동,,19227
339-011,세종,,아름동,,19228
339-730,세종,,어진동 공정거래위원회,,19229
339-710,세종,,어진동 국무총리실,,19230
339-715,세종,,어진동 국토해양부,,19231
339-711,세종,,어진동 기획재정부,,19232
339-712,세종,,어진동 농림수산식품부,,19233
339-714,세종,,어진동 환경부,,19234
339-012,세종,,어진동,,19235
339-013,세종,,종촌동,,19236
339-721,세종,,한솔동 첫마을아파트1단지,(101∼111동),19237
339-722,세종,,한솔동 첫마을아파트2단지,(201∼202동),19238
339-723,세종,,한솔동 첫마을아파트3단지,(301∼312동),19239
339-724,세종,,한솔동 첫마을아파트4단지,(401∼405동),19240
339-725,세종,,한솔동 첫마을아파트5단지,(501∼525동),19241
339-726,세종,,한솔동 첫마을아파트6단지,(601∼617동),19242
339-727,세종,,한솔동 첫마을아파트7단지,(701∼713동),19243
339-014,세종,,한솔동,,19244
339-800,세종,,조치원읍 교리 세종우체국,,19245
339-801,세종,,조치원읍 교리,,19246
339-755,세종,,조치원읍 남리 다원파크리안아파트,(101∼103동),19247
339-802,세종,,조치원읍 남리,,19248
339-803,세종,,조치원읍 명리,,19249
339-756,세종,,조치원읍 번암리 주공아파트,(101∼111동),19250
339-804,세종,,조치원읍 번암리,,19251
339-805,세종,,조치원읍 봉산리,,19252
339-881,세종,,조치원읍 상리,,19253
339-700,세종,,조치원읍 서창리 고려대학교세종캠퍼스,,19254
339-806,세종,,조치원읍 서창리,,19255
339-758,세종,,조치원읍 신안리 조형아파트,(101∼108동),19256
339-701,세종,,조치원읍 신안리 홍익대학교세종캠퍼스,,19257
339-886,세종,,조치원읍 신안리,,19258
339-762,세종,,조치원읍 신흥리 e-편한세상아파트,(101∼110동),19259
339-705,세종,,조치원읍 신흥리 세종특별자치시청,,19260
339-751,세종,,조치원읍 신흥리 신흥주공아파트,(201∼210동),19261
339-759,세종,,조치원읍 신흥리 푸르지오1차,(101∼112동),19262
339-807,세종,,조치원읍 신흥리,,19263
339-883,세종,,조치원읍 원리,,19264
339-882,세종,,조치원읍 정리,,19265
339-757,세종,,조치원읍 죽림리 신동아아파트,(101∼305동),19266
339-764,세종,,조치원읍 죽림리 우방유쉘아파트,(101∼109동),19267
339-763,세종,,조치원읍 죽림리 자이아파트,(101∼125동),19268
339-884,세종,,조치원읍 죽림리,,19269
339-752,세종,,조치원읍 침산리 욱일아파트,(101∼113동),19270
339-887,세종,,조치원읍 침산리,,19271
339-885,세종,,조치원읍 평리,,19272
339-800,세종,,조치원읍,,19273
339-831,세종,,금남면 감성리,,19274
339-829,세종,,금남면 국곡리 사서함,119,19275
339-837,세종,,금남면 국곡리,,19276
339-831,세종,,금남면 금천리,,19277
339-832,세종,,금남면 남곡리,,19278
339-832,세종,,금남면 달전리,,19279
339-832,세종,,금남면 대박리,,19280
339-837,세종,,금남면 도남리,,19281
339-831,세종,,금남면 도암리,,19282
339-831,세종,,금남면 두만리,,19283
339-832,세종,,금남면 박산리,,19284
339-833,세종,,금남면 발산리,,19285
339-837,세종,,금남면 봉암리,,19286
339-832,세종,,금남면 부용리,,19287
339-837,세종,,금남면 성강리,,19288
339-836,세종,,금남면 성덕리,,19289
339-835,세종,,금남면 신촌리,,19290
339-836,세종,,금남면 영곡리,,19291
339-832,세종,,금남면 영대리,,19292
339-831,세종,,금남면 영치리,,19293
339-831,세종,,금남면 용담리,,19294
339-761,세종,,금남면 용포리 두진리버빌아파트,(101∼105동),19295
339-835,세종,,금남면 용포리,,19296
339-837,세종,,금남면 원봉리,,19297
339-832,세종,,금남면 장재리,,19298
339-834,세종,,금남면 집현리,,19299
339-831,세종,,금남면 축산리,,19300
339-833,세종,,금남면 호탄리,,19301
339-832,세종,,금남면 황용리,,19302
339-830,세종,,금남면,,19303
339-945,세종,,부강면 갈산리,,19304
339-942,세종,,부강면 금호리,,19305
339-943,세종,,부강면 노호리,,19306
339-943,세종,,부강면 등곡리,,19307
339-944,세종,,부강면 문곡리,,19308
339-941,세종,,부강면 부강리,,19309
339-945,세종,,부강면 산수리,,19310
339-945,세종,,부강면 행산리,,19311
339-940,세종,,부강면,,19312
339-871,세종,,소정면 고등리,,19313
339-872,세종,,소정면 대곡리,,19314
339-872,세종,,소정면 소정리,,19315
339-872,세종,,소정면 운당리,,19316
339-870,세종,,소정면,,19317
339-822,세종,,연기면 누리리,,19318
339-823,세종,,연기면 눌왕리,,19319
339-824,세종,,연기면 보통리,,19320
339-825,세종,,연기면 산울리,,19321
339-821,세종,,연기면 세종리,,19322
339-823,세종,,연기면 수산리,,19323
339-824,세종,,연기면 연기리,,19324
339-825,세종,,연기면 한별리,,19325
339-825,세종,,연기면 해밀리,,19326
339-820,세종,,연기면,,19327
339-861,세종,,연동면 내판리,,19328
339-862,세종,,연동면 노송리,,19329
339-863,세종,,연동면 다솜리,,19330
339-702,세종,,연동면 명학리 삼성전기(주),,19331
339-760,세종,,연동면 명학리 청정아파트,(101∼104동),19332
339-863,세종,,연동면 명학리,,19333
339-863,세종,,연동면 문주리,,19334
339-861,세종,,연동면 송용리,,19335
339-861,세종,,연동면 예양리,,19336
339-863,세종,,연동면 용호리,,19337
339-862,세종,,연동면 응암리,,19338
339-863,세종,,연동면 합강리,,19339
339-860,세종,,연동면,,19340
339-811,세종,,연서면 고복리,,19341
339-813,세종,,연서면 국촌리,,19342
339-812,세종,,연서면 기룡리,,19343
339-707,세종,,연서면 봉암리 대원네스트빌아파트,(101∼107동),19344
339-819,세종,,연서면 봉암리 사서함,90,19345
339-813,세종,,연서면 봉암리,,19346
339-812,세종,,연서면 부동리,,19347
339-814,세종,,연서면 성제리,,19348
339-814,세종,,연서면 신대리,,19349
339-811,세종,,연서면 쌍류리,,19350
339-814,세종,,연서면 쌍전리,,19351
339-812,세종,,연서면 와촌리,,19352
339-811,세종,,연서면 용암리,,19353
339-815,세종,,연서면 월하리,,19354
339-811,세종,,연서면 청라리,,19355
339-810,세종,,연서면,,19356
339-713,세종,,장군면 금암리 공주영상정보대학,,19357
339-911,세종,,장군면 금암리,,19358
339-913,세종,,장군면 대교리,,19359
339-913,세종,,장군면 도계리,,19360
339-914,세종,,장군면 봉안리,,19361
339-911,세종,,장군면 산학리,,19362
339-912,세종,,장군면 송문리,,19363
339-913,세종,,장군면 송정리,,19364
339-914,세종,,장군면 송학리,,19365
339-914,세종,,장군면 용암리,,19366
339-914,세종,,장군면 용현리,,19367
339-913,세종,,장군면 은용리,,19368
339-911,세종,,장군면 태산리,,19369
339-912,세종,,장군면 평기리,,19370
339-914,세종,,장군면 하봉리,,19371
339-910,세종,,장군면,,19372
339-704,세종,,전동면 노장리 노장산업단지,,19373
339-841,세종,,전동면 노장리,,19374
339-842,세종,,전동면 미곡리,,19375
339-843,세종,,전동면 보덕리,,19376
339-841,세종,,전동면 봉대리,,19377
339-841,세종,,전동면 석곡리,,19378
